                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56635,                0.42929,                 1.0198,                0.73932,                 0.6006,                0.67539,                0.54924,                0.82514,                 1.1415,                 1.1618,               0.008845,               0.008845,               0.008845
                     37,                0.56113,                0.43045,                 1.0178,                0.73587,                0.55451,                0.62797,                 0.5146,                0.81348,                 1.1446,                 1.1571,               0.008812,               0.008812,               0.008812
                     38,                0.55255,                0.42589,                 1.0154,                0.73355,                0.61299,                0.63008,                0.52691,                0.80132,                 1.1873,                   1.14,               0.008779,               0.008779,               0.008779
                     39,                 0.5518,                0.43572,                 1.0139,                0.80073,                0.54492,                0.66036,                0.52558,                0.85103,                 1.1617,                  1.211,               0.008746,               0.008746,               0.008746
                     40,                0.54455,                0.42296,                 1.0125,                0.84193,                0.60925,                0.72416,                0.57806,                0.81308,                 1.1627,                 1.1536,               0.008713,               0.008713,               0.008713
                     41,                0.53526,                0.41549,                 1.0053,                0.82311,                0.56169,                0.70398,                0.56131,                 0.8224,                 1.1118,                 1.1694,                0.00868,                0.00868,                0.00868
                     42,                0.52873,                0.40486,                 1.0028,                0.79027,                0.63342,                0.72374,                0.58587,                0.79518,                0.97719,                 1.1719,               0.008647,               0.008647,               0.008647
                     43,                0.52783,                0.40992,                 1.0049,                 0.8259,                0.57506,                0.68763,                0.53783,                0.82836,                 1.1825,                   1.18,               0.008614,               0.008614,               0.008614
                     44,                0.51464,                 0.3951,                0.99836,                0.71005,                0.61608,                0.64294,                0.53856,                 0.8022,                 1.1363,                 1.1697,               0.008581,               0.008581,               0.008581
                     45,                0.51439,                0.39374,                0.99912,                0.82544,                0.58837,                0.71177,                0.58478,                 0.7951,                 1.0937,                 1.1608,               0.008548,               0.008548,               0.008548
                     46,                0.50689,                0.38921,                0.99265,                0.74294,                0.60921,                0.69266,                0.57372,                0.80784,                 1.1528,                 1.1644,               0.008515,               0.008515,               0.008515
                     47,                0.49548,                0.38581,                0.98751,                0.77994,                0.58349,                0.69217,                0.57941,                0.80109,                 1.2246,                 1.1789,               0.008482,               0.008482,               0.008482
                     48,                0.49378,                0.37905,                0.98624,                0.78223,                0.61204,                0.70835,                  0.594,                0.80839,                 1.2313,                 1.1797,               0.008449,               0.008449,               0.008449
                     49,                0.49975,                0.38392,                0.98736,                0.81351,                0.58924,                0.71111,                0.58333,                0.79378,                 1.0865,                 1.1716,               0.008416,               0.008416,               0.008416
                     50,                0.48605,                0.36277,                0.98341,                0.83371,                0.65138,                0.74365,                0.63566,                0.77735,                 1.1462,                 1.1543,               0.008383,               0.008383,               0.008383
                     51,                0.48826,                0.37165,                0.98365,                0.77517,                0.59373,                0.63561,                 0.5418,                 0.7701,                 1.2098,                 1.1563,                0.00835,                0.00835,                0.00835
                     52,                0.49003,                0.37481,                0.98584,                0.72743,                0.59458,                0.61141,                0.49938,                0.81441,                 1.2297,                  1.212,               0.008317,               0.008317,               0.008317
                     53,                0.47534,                0.36659,                0.97972,                0.75502,                0.57826,                 0.6523,                  0.556,                0.79574,                   1.22,                  1.161,               0.008284,               0.008284,               0.008284
                     54,                0.47382,                 0.3576,                0.97971,                0.75203,                0.61189,                0.70171,                0.59497,                0.80291,                 1.2685,                 1.1965,               0.008251,               0.008251,               0.008251
                     55,                0.46788,                0.36271,                0.97143,                0.82888,                 0.5654,                0.70315,                0.60129,                0.80326,                 1.1471,                 1.2136,               0.008218,               0.008218,               0.008218
                     56,                0.46906,                0.35642,                0.97519,                0.83511,                0.56563,                0.70826,                 0.5831,                0.80848,                 1.3198,                 1.1965,               0.008185,               0.008185,               0.008185
                     57,                0.46509,                0.35586,                0.97177,                0.86216,                0.59966,                 0.7662,                 0.6241,                0.81645,                 1.1281,                 1.1879,               0.008152,               0.008152,               0.008152
                     58,                0.45987,                0.34995,                0.96742,                0.78868,                0.61341,                0.72061,                0.61182,                0.80681,                  1.151,                 1.2095,               0.008119,               0.008119,               0.008119
                     59,                0.45139,                 0.3474,                0.96959,                0.83335,                0.62007,                0.72652,                0.60936,                0.78076,                 1.1003,                  1.155,               0.008086,               0.008086,               0.008086
                     60,                 0.4586,                0.34506,                0.97406,                 0.8491,                0.62493,                0.77657,                0.64395,                0.80123,                 1.1362,                 1.1938,               0.008053,               0.008053,               0.008053
                     61,                0.45029,                0.34118,                0.96683,                0.84874,                0.61144,                0.73913,                0.60222,                0.82343,                 1.2149,                 1.2172,                0.00802,                0.00802,                0.00802
                     62,                0.44927,                0.34555,                0.96791,                0.80809,                0.62042,                0.72431,                0.59911,                0.77589,                 1.2542,                 1.1685,               0.007987,               0.007987,               0.007987
